task,period,cohort,family,model_id,quantile,reference_kind,population,metric,all_mature_value,reference_value,all_mature_minus_reference,n_orders,n_events,order_id_sha256,difference_aggregation
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQS,0.5,promise_only,all_orders,pinball_loss,1.96763970214,1.97164896785,-0.00400926571371,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQS,0.5,promise_only,all_orders,pinball_skill_vs_reference,0.00203345817591,0,0.00203345817591,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQS,0.5,selected_90d,all_orders,pinball_loss,1.96763970214,1.98950790465,-0.0218682025123,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQS,0.5,selected_90d,all_orders,pinball_skill_vs_reference,0.0109917645771,0,0.0109917645771,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQS,0.5,selected_90d,common_support_ge20,pinball_loss,2.06023142347,2.08388658319,-0.0236551597176,320,,51af5b99091563e7c84e741c322618efd70ea2d20d86533f54d80d01d983385b,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQS,0.5,selected_90d,common_support_ge20,pinball_skill_vs_reference,0.011351462171,0,0.011351462171,320,,51af5b99091563e7c84e741c322618efd70ea2d20d86533f54d80d01d983385b,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.9,promise_only,all_mature_support_ge20,absolute_coverage_error,0.0462102689487,0.0462102689487,0,409,,dc79d113385b88b4f93e73ec43017cddade9cb70f9ed61a3c63aeff525d2b63c,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.9,promise_only,all_mature_support_ge20,empirical_coverage,0.946210268949,0.946210268949,0,409,,dc79d113385b88b4f93e73ec43017cddade9cb70f9ed61a3c63aeff525d2b63c,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.9,promise_only,all_mature_support_ge20,pinball_loss,1.99689508137,2.02087766901,-0.0239825876415,409,,dc79d113385b88b4f93e73ec43017cddade9cb70f9ed61a3c63aeff525d2b63c,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.9,promise_only,all_mature_support_ge20,pinball_skill_vs_reference,0.0118674118722,0,0.0118674118722,409,,dc79d113385b88b4f93e73ec43017cddade9cb70f9ed61a3c63aeff525d2b63c,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.9,promise_only,all_orders,absolute_coverage_error,0.0600665557404,0.0600665557404,0,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.9,promise_only,all_orders,empirical_coverage,0.96006655574,0.96006655574,0,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
conditional_positive_lateness,terminal,2018-07_to_2018-08,linear_quantile,DQB,0.9,promise_only,all_orders,pinball_loss,1.87970343487,1.87852384584,0.00117958902745,601,,411c630c68b48c4d3c3d613201fd86996a7c6c54de543da9246dd19a726f1c22,paired_same_terminal_orders
