task,period,row_type,cohort,family,quantile,model_id,profile_block,history_mode,reference_kind,reference_model,population,n_orders,order_id_sha256,paired_exact,all_mature_pinball_loss,reference_pinball_loss,delta_pinball_loss,all_mature_pinball_skill_vs_reference,reference_pinball_skill_vs_reference,delta_pinball_skill_vs_reference,all_mature_empirical_coverage,reference_empirical_coverage,delta_empirical_coverage,all_mature_coverage_error,reference_coverage_error,delta_coverage_error,all_mature_absolute_coverage_error,reference_absolute_coverage_error,delta_absolute_coverage_error,all_mature_p90_absolute_error,reference_p90_absolute_error,delta_p90_absolute_error,favourable_primary,n_months,favourable_month_count,favourable_month_count_pinball_loss,favourable_month_count_absolute_coverage_error,difference_aggregation
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,selected_90d,DQB,common_support_ge20,,,True,3.5642533987,3.56493863187,-0.000719184568203,0.000206872402698,0,0.000206872402698,0.437606052036,0.434601244344,0,-0.0623939479638,-0.0653987556561,0,0.0791482588358,0.079592611336,-0.00300480769231,16.4399998188,16.4849998951,0,,6,4,4,3,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQG,all-mature state-OD transit profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,,,True,3.92041756334,3.91763599866,-0.000923943567438,0.000274596754651,0,0.000274596754651,0.43181192976,0.434929622667,-0.0069936618995,-0.0681880702398,-0.0650703773325,-0.0069936618995,0.0923938765933,0.0854002146938,0.00311769290725,18.4399998188,18.4849998951,-0.015000104905,,6,4,4,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQG,all-mature state-OD transit profiles,all_mature,promise_only,DQ0,all_orders,,,True,3.94377746296,3.94379671251,-0.000580993983008,0.000120166202471,0,0.000120166202471,0.443237739691,0.444247578549,-0.00673413256002,-0.0567622603088,-0.0557524214505,-0.00673413256002,0.091886155042,0.085152022482,0.00301204819277,17.9849998951,17.9714999676,0.013499927518,,6,4,4,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQG,all-mature state-OD transit profiles,all_mature,selected_90d,DQG,all_orders,,,True,3.94377746296,3.94316058717,-0.000660776431615,0.000253692703188,0,0.000253692703188,0.443237739691,0.43619548617,-0.00124069478908,-0.0567622603088,-0.06380451383,-0.00124069478908,0.091886155042,0.0906454602529,0,17.9849998951,17.9700000286,0.014999866485,,6,4,4,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQG,all-mature state-OD transit profiles,all_mature,selected_90d,DQG,common_support_ge20,,,True,3.91319363415,3.90969395773,-0.000811124019731,0.000315688463912,0,0.000315688463912,0.427803260766,0.420340574199,-0.00132978723404,-0.0721967392338,-0.0796594258009,-0.00132978723404,0.0918061390432,0.0929064782471,0,17.9399998188,17.9624999762,0.014999866485,,6,4,4,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQS,all-mature seller pre-handoff profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,,,True,3.63974321785,3.63743120274,0.000644281974533,-0.000155414141877,0,-0.000155414141877,0.442699395658,0.455221785514,-0.00290979631426,-0.0573006043423,-0.0447782144862,-0.00290979631426,0.0891647256225,0.0607074840528,0,16.8387499332,16.8349998951,0,,6,2,2,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQS,all-mature seller pre-handoff profiles,all_mature,promise_only,DQ0,all_orders,,,True,3.94468573835,3.94379671251,-1.55916592668e-05,-2.28671730113e-05,0,-2.28671730113e-05,0.440482518309,0.444247578549,-0.00225733634312,-0.0595174816915,-0.0557524214505,-0.00225733634312,0.0944452757032,0.085152022482,0,17.9925000191,17.9714999676,0,,6,3,3,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQS,all-mature seller pre-handoff profiles,all_mature,selected_90d,DQS,all_orders,,,True,3.94468573835,3.94461946359,-4.02265672355e-05,1.06412501926e-05,0,1.06412501926e-05,0.440482518309,0.440978703547,0.000539956803456,-0.0595174816915,-0.0590212964534,0.000539956803456,0.0944452757032,0.0964912566031,0.00225733634312,17.9925000191,18.0179999828,0,,6,3,3,2,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.5,DQS,all-mature seller pre-handoff profiles,all_mature,selected_90d,DQS,common_support_ge20,,,True,3.58785462078,3.58736854072,0.000355327171122,-4.29908786299e-05,0,-4.29908786299e-05,0.423990067228,0.421688571256,0,-0.0760099327721,-0.0783114287445,0,0.0844316674038,0.0844316674038,0.00217391304348,16.5529999971,16.5200000286,0,,6,3,3,1,median_of_paired_monthly_differences
severity,later,monthly_median,2018-01_to_2018-06,xgboost_quantile,0.9,DQB,all-mature seller pre-handoff and state-OD transit profiles,all_mature,promise_only,DQ0,all_mature_support_ge20,,,True,2.92184355226,2.90227302251,0.0195705297499,-0.00545212632914,0,-0.00545212632914,0.863232215655,0.870634504996,-0.00701329220827,-0.0367677843449,-0.0293654950043,-0.00701329220827,0.0582188822666,0.0558184428055,0.00674232134906,19.4338722229,19.839047432,-0.39704799655,,6,2,2,1,median_of_paired_monthly_differences
