variant,model_id,row_term,column_term,covariance_hc1
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]",0.00141769487904
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","cr(actual_delivery_days, df=4, constraints=""center"")[0]",-1.50715064462e-05
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","cr(actual_delivery_days, df=4, constraints=""center"")[1]",0.000204422471273
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","cr(actual_delivery_days, df=4, constraints=""center"")[2]",0.000272724457168
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","cr(actual_delivery_days, df=4, constraints=""center"")[3]",0.000410434889627
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]",Intercept,-0.00144541398612
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]",0.00142614556243
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]",0.0014181741924
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]",0.0014289896037
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]",0.00140837791044
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]",0.0048080147965
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]",0.00143168400626
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]",0.00143359082016
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]",0.00143106732532
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]",0.00143131689916
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]",0.00142877751618
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-11]",0.00141100526341
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-12]",0.00140053395776
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-02]",0.00140468880209
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-03]",0.00140982107199
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-04]",0.00142982015809
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-05]",0.00143070188834
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-06]",0.00144956955663
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-07]",0.00145474317123
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2018-08]",0.00146962100459
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.pooled sparse purchase months (<500 orders each)]",0.0013743534207
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","cr(actual_delivery_days, df=4, constraints=""center"")[0]",0.000153017598443
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","cr(actual_delivery_days, df=4, constraints=""center"")[1]",0.000324736903329
primary,A,"C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","cr(actual_delivery_days, df=4, constraints=""center"")[2]",0.00090502048379
