variant,analysis_sample,record_type,model_id,outcome,record_id,term,group,n_orders,estimate,standard_error,ci_lower,ci_upper,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,direction_positive,support_rule,support_lower,support_upper,support_n,notes
low_review_3,low_review_3,coefficient,B,low_review_3,"cr(actual_delivery_days, df=4, constraints=""center"")[2]","cr(actual_delivery_days, df=4, constraints=""center"")[2]",,95824,-1.50465382043,0.320196794897,-2.1322280064,-0.87707963447,2.61242325769e-06,0.222094164987,0.118572818337,0.415995999867,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,coefficient,B,low_review_3,"cr(actual_delivery_days, df=4, constraints=""center"")[3]","cr(actual_delivery_days, df=4, constraints=""center"")[3]",,95824,-0.180171613877,0.710572514492,-1.57286815069,1.21252492293,0.799836755817,0.835126879751,0.207449332327,3.36196264148,False,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,wald,A,low_review_3,duration_spline,"cr(actual_delivery_days, df=4, constraints=""center"")",,95824,5092.71815258,,,,0,,,,,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,wald,B,low_review_3,error_group,"C(promise_error_group_label, Treatment(reference=""on promised date""))",,95824,2168.78353063,,,,0,,,,,,,,,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,error_group_rd::very early: <= -14 days,error_group_rd::very early: <= -14 days,very early: <= -14 days,95824,-0.0387205713929,0.0105920789365,-0.0594806646298,-0.017960478156,,,,,False,intersection of group-specific p05-p95; pooled median inside intersection,5,19,36216,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,error_group_rd::early: -13 to -7 days,error_group_rd::early: -13 to -7 days,early: -13 to -7 days,95824,-0.0392616581732,0.0110172809774,-0.0608551320964,-0.0176681842499,,,,,False,intersection of group-specific p05-p95; pooled median inside intersection,5,22,27713,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,error_group_rd::slightly early: -6 to -1 days,error_group_rd::slightly early: -6 to -1 days,slightly early: -6 to -1 days,95824,-0.0187316288092,0.0121615524198,-0.0425678335481,0.00510457592974,,,,,False,intersection of group-specific p05-p95; pooled median inside intersection,5,28,11273,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,error_group_rd::on promised date,error_group_rd::on promised date,on promised date,95824,0,0,0,0,,,,,False,intersection of group-specific p05-p95; pooled median inside intersection,5,33,1178,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,error_group_rd::1 day late,error_group_rd::1 day late,1 day late,95824,0.0619029003385,0.0210866255509,0.0205738737033,0.103231926974,,,,,True,intersection of group-specific p05-p95; pooled median inside intersection,7,33,1816,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,error_group_rd::2-3 days late,error_group_rd::2-3 days late,2-3 days late,95824,0.268257642866,0.0205376246031,0.228004638316,0.308510647416,,,,,True,intersection of group-specific p05-p95; pooled median inside intersection,10,33,1864,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,error_group_rd::4-7 days late,error_group_rd::4-7 days late,4-7 days late,95824,0.45842939916,0.0172289654215,0.424661247443,0.492197550877,,,,,True,intersection of group-specific p05-p95; pooled median inside intersection,14,33,2115,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,error_group_rd::>=8 days late,error_group_rd::>=8 days late,>=8 days late,95824,0.53555432566,0.017208880152,0.501825540348,0.569283110972,,,,,True,intersection of group-specific p05-p95; pooled median inside intersection,26,33,800,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,C_speed,C_speed,on promised date,95824,0.0893399196111,0.00431241936234,0.0808877329747,0.0977921062475,,,,,True,on-date empirical p25/p75 within on-date p05-p95,5,33,1280,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,C_late_4_7,C_late_4_7,4-7 days late,95824,0.45842939916,0.0172289654215,0.424661247443,0.492197550877,,,,,True,intersection of group-specific p05-p95; pooled median inside intersection,14,33,2115,Alternative observed low-review threshold: selected score <=3.
low_review_3,low_review_3,contrast,B,low_review_3,C_late_8_plus,C_late_8_plus,>=8 days late,95824,0.53555432566,0.017208880152,0.501825540348,0.569283110972,,,,,True,intersection of group-specific p05-p95; pooled median inside intersection,26,33,800,Alternative observed low-review threshold: selected score <=3.
